127.0.0.1 - - [18/Mar/2019:14:45:29 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Mar/2019:14:45:32 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:23:42 +0900] "GET /HelloJSP2/ HTTP/1.1" 500 2629
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:24:25 +0900] "GET /HelloJSP2/ HTTP/1.1" 500 2629
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:25:13 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:25:15 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:28:35 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:28:45 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:30:08 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:31:57 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:55:58 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:56:12 +0900] "POST /HelloJSP2/total-out.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Mar/2019:15:56:17 +0900] "GET /HelloJSP2/ HTTP/1.1" 200 761
